epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,8654.83,0.63174,0.30102,0.80819,0.92203,0.94068,0.92906,0.76479,0.74672,0.44878,0.83851,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8907.93,0.62831,0.29921,0.80756,0.92179,0.94056,0.92928,0.76432,0.74863,0.44972,0.8389,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9161.01,0.62627,0.29806,0.80783,0.92144,0.9408,0.92921,0.76416,0.74886,0.44928,0.83918,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9414.05,0.62194,0.29693,0.80733,0.92151,0.94078,0.92985,0.76513,0.74792,0.44837,0.83911,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9667.28,0.62388,0.29702,0.80731,0.92126,0.94114,0.9304,0.76521,0.74815,0.44803,0.83925,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9920.46,0.623,0.29606,0.80714,0.92182,0.94082,0.93112,0.76611,0.74794,0.44728,0.83925,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10173.5,0.62065,0.29486,0.80731,0.92187,0.94076,0.93104,0.7661,0.7482,0.44718,0.83952,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10426.6,0.61939,0.29465,0.80796,0.92115,0.94176,0.93103,0.76573,0.74918,0.44763,0.83995,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10679.4,0.61951,0.29408,0.80693,0.92111,0.94192,0.93131,0.76603,0.74966,0.44753,0.84023,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10932.6,0.61596,0.29243,0.80708,0.92183,0.94148,0.93154,0.76606,0.74996,0.44695,0.84018,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11186.1,0.61423,0.29179,0.80661,0.92159,0.9413,0.93153,0.76603,0.75092,0.44681,0.84057,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11439.1,0.61115,0.29009,0.80597,0.92191,0.94092,0.93189,0.76621,0.7515,0.44675,0.8408,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11692.2,0.6098,0.2895,0.80574,0.92173,0.94099,0.93233,0.76651,0.75201,0.44645,0.84091,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11949.6,0.60955,0.2892,0.80591,0.9223,0.94069,0.93245,0.76644,0.7524,0.44623,0.84107,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,254.612,0.6055,0.28674,0.80543,0.9221,0.94095,0.93255,0.7665,0.7526,0.44639,0.84105,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,501.899,0.60474,0.28705,0.80576,0.92222,0.94088,0.93265,0.76637,0.7527,0.44628,0.84104,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,749.394,0.60526,0.28723,0.80492,0.92173,0.94135,0.9328,0.76658,0.75289,0.44637,0.8412,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,997.011,0.60044,0.28471,0.80472,0.92195,0.9414,0.93296,0.76664,0.75338,0.44631,0.84148,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,1244.23,0.60071,0.28464,0.80541,0.92203,0.94133,0.93317,0.76657,0.75438,0.44645,0.84181,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,1491.56,0.59961,0.28381,0.80417,0.92198,0.94167,0.93319,0.76639,0.75493,0.44643,0.84188,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,1747.37,0.55192,0.26298,0.79875,0.92169,0.94186,0.93316,0.76606,0.75508,0.44692,0.84206,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,1988.62,0.54193,0.25862,0.79668,0.92161,0.94166,0.93295,0.766,0.75495,0.44708,0.84223,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,2231.06,0.53875,0.25707,0.79735,0.92159,0.94169,0.93271,0.76599,0.75446,0.44686,0.84235,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,2473.1,0.53609,0.25592,0.79657,0.92171,0.94158,0.93271,0.76593,0.75421,0.44693,0.84253,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,2715.17,0.53526,0.25446,0.79631,0.9217,0.94182,0.93272,0.76611,0.75398,0.44693,0.8426,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,2957.49,0.53265,0.25316,0.79558,0.92162,0.94184,0.93268,0.76605,0.75421,0.44717,0.84285,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3199.6,0.52976,0.2514,0.79557,0.9217,0.94186,0.93258,0.76593,0.75399,0.44739,0.84292,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3441.58,0.52756,0.25029,0.7952,0.9219,0.94174,0.93257,0.76603,0.75433,0.4476,0.84315,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3687.9,0.52627,0.24933,0.79533,0.92201,0.94182,0.93257,0.76602,0.75457,0.44786,0.84342,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3933.49,0.52519,0.24803,0.79474,0.92232,0.94141,0.9325,0.76588,0.75493,0.44809,0.84371,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
